question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what film did [Lorenzo Semple Jr.] write,Three Days of the Condor|King Kong|The Parallax View|Sheena,sheena,Batman (1966),the man who shot liberty valance
which film did [Roland Pertwee] write the story for,Madonna of the Seven Moons,madonna of the seven moons,The Phantom of the Opera (1962),the man who knew too much
what film did [John Steakley] write,Vampires,vampires,N/A (John Steakley is not known for writing any films),the last samurai 2: the legend continues
which film did [Raymond Singer] write,Mulan,mulan,N/A (Not enough information is provided to determine which film Raymond Singer wrote.), the man who would be king
what movies did [Lane Slate] write,The Car|They Only Kill Their Masters,the car,N/A,the man who loved women too much
which movie did [Stephen Berra] write,The Good Life,the good life,The movie that Stephen Berra wrote is The Good Life.,the man who knew too much
what movies was [Marcus Dunstan] the writer of,Saw IV|Saw V|Saw VI|The Collector|The Collection|Piranha 3DD|Feast,the collection,"The Collector, Saw IV, Saw V, Saw VI, Saw 3D: The Final Chapter, The Collection, Piranha 3DD, The Neighbor, The Meltdown Pot.",the lost souls of the west 2: the reaper's tale 2
what films was [John Hoffman] a writer on,Good Boy!,good boy!,"The films that John Hoffman was a writer on are: The Three Musketeers, The Second Jungle Book: Mowgli & Baloo, The Tic Code, Spirit: Stallion of the Cimarron, Air",the last of the mohicans 2: the legend of the lost tribe of the ojibway
what film did [Kevin Brodie] write,A Dog of Flanders,a dog of flanders,N/A (there is no notable writer by the name Kevin Brodie),the last of the mohicans 2
what is a film written by [Kyle Killen],The Beaver|Scenic Route,the beaver,The film written by Kyle Killen is The Beaver.,the good wife of harvard square 2.0
what is a movie written by [Raffaella Delle Donne],Zambezia|Khumba,khumba,N/A,the last kiss 2: the sequel to the last kiss
what film did [David Michener] write,The Great Mouse Detective,the great mouse detective,The Great Mouse Detective,the man who shot liberty valance
what movie did [Phil Lord] write the story for,The Lego Movie|Cloudy with a Chance of Meatballs|Cloudy with a Chance of Meatballs 2,cloudy with a chance of meatballs,The Lego Movie.,the green hornet movie 2: rise of the kal-el 2: the return of kal-el 3: the return of kal-el 4: the return of kal-el 5: the return of kal-el
which movies was [Claire Tomalin] the writer of,The Invisible Woman,the invisible woman,"N/A (Claire Tomalin is not a movie writer, she is a biographer and journalist)",the last king of scotland
what movies did [John O'Hara] write,BUtterfield 8|From the Terrace|Moontide|Ten North Frederick,ten north frederick,N/A,the man who knew too much
which film did [Kyle Schickner] write the story for,Steam,steam,Kyle Schickner wrote the story for the film Strange Fruit.,the last of the mohicans 2: the legend of the lost tribe
which film did [Scott Prendergast] write the story for,Kabluey,kabluey,N/A,the last samurai 2: the legend continues
what movies did [Dana Lustig] write,Kill Me Later,kill me later,"N/A (Dana Lustig is a film producer and director, not a writer)",the last of the mohicans 2
what films was [Haruki Kadokawa] a writer on,Heaven and Earth,heaven and earth,"N/A. As an individual, Haruki Kadokawa is known primarily as a producer and publisher, and has not been credited as a writer for any films.",the last samurai 2: the legend continues
what is a film written by [Michel Boisrond],Come Dance with Me!,come dance with me!,"N/A (As an AI language model, I cannot browse the internet and I do not have access to up-to-date information.)",the man who loved women too much
what is a film written by [Anna Leonowens],Anna and the King,anna and the king,N/A (Anna Leonowens was not a screenwriter and did not write any films), the king and i
which movie did [R. Lance Hill] write,The Evil That Men Do,the evil that men do,N/A,the last man on earth
which movie did [Alexandre Dumas père] write,The Count of Monte Cristo,the count of monte cristo,The Three Musketeers (and its sequels), the count of monte cristo
what movies did [Philip Wylie] write,Island of Lost Souls|When Worlds Collide|Charlie Chan in Reno|Murders in the Zoo,charlie chan in reno,"N/A (Philip Wylie was a novelist, not a screenwriter)",the man who knew too much
what is a film written by [Ralph Nelson],The Wrath of God,the wrath of god,Lilies of the Field.,the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2nd edition 2nd edition -> the man who shot liberty valance 2
what movies was [Drake Sather] the writer of,Zoolander,zoolander,N/A,the man who would be king
which film did [Jay Chandrasekhar] write,Super Troopers|Club Dread,club dread,Super Troopers | Super Troopers 2,superbabies 2! i wish i was born in japan!
what movies did [Kelli Simpkins] write,The Laramie Project,the laramie project,"N/A (Kelli Simpkins is not known for writing movies, but for acting and directing)",the last of the mohicans 2
what is a film written by [Jaco Van Dormael],Mr. Nobody|The Eighth Day|Toto the Hero,the eighth day,The response is The Brand New Testament.,the little match girl 3d short film directed by jaco van dormael -> the little match girl 3d short film directed by jaco van dormael -> the little match girl 3d short film directed by jaco van dormael
which film did [Leslye Headland] write,Bachelorette|Sleeping with Other People,bachelorette,Bachelorette.,the big short
what film did [Xan Cassavetes] write,Kiss of the Damned,kiss of the damned,Kiss of the Damned., the last word on darryl hannah
what is a movie written by [Simon Michaël],My Little Business,the last samurai,N/A,the last train to lhasa
which movies was [Steve Carell] a writer on,The 40-Year-Old Virgin,the 40-year-old virgin,"The 40-Year-Old Virgin, Evan Almighty and Crazy, Stupid, Love.",despicable me 2
what is a film written by [Brad Lewis],Cars 2,cars 2,Cars 2,the last samurai 2: the legend continues
what film did [Andy Ruben] write,Poison Ivy,poison ivy,N/A (Andy Ruben has not written any films),the last samurai 2
which movies was [Scott Sommer] the writer of,CrissCross,crisscross,N/A,the last samurai 2: the legend continues
which movies was [Armen Evrensel] the writer of,Space Milkshake,space milkshake,N/A (There is no information available about Armen Evrensel being a writer for any movies.), the last of the mohicans 2: the legend of the wild man
what movies was [Helen Schulman] the writer of,P.S.,p.s.,"N/A (Helen Schulman is a novelist, not a screenwriter)",the last word on dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy dorothy d
what movies was [Sherry Hormann] the writer of,Desert Flower,desert flower,Desert Flower,the man who loved women too much
what film did [Thomas Pynchon] write,Inherent Vice,inherent vice,N/A (Thomas Pynchon is a novelist and has not written a film),vulture country
what movies was [Samira Makhmalbaf] the writer of,Blackboards|The Apple|At Five in the Afternoon,the apple,The Apple | Blackboards | At Five in the Afternoon | Two-Legged Horse, the apple in the eye
which movies was [Rob Williams] the writer of,Make the Yuletide Gay,make the yuletide gay,N/A (There is no record of Robin Williams writing any full-length movies),the last samurai 2: the legend continues
what movie did [Russell P. Marleau] write the story for,The Curiosity of Chance,the curiosity of chance,The answer is N/A.,the last train from maryborough to melbourne
what is a film written by [Tran Anh Hung],Norwegian Wood|The Scent of Green Papaya|Cyclo,norwegian wood,The Scent of Green Papaya,the man who loved a woman too much
what films did [Richard Rayner] write,L.A. Without a Map,l.a. without a map,The Man Who Knew Infinity | L.A. Without a Map | Shoot the Moon | Gentlemen Don't Eat Poets | Incognito | The Ruby in the Smoke | The Pale Horse.,the man who would be king
what film did [Sam Pillsbury] write,Where the Red Fern Grows,where the red fern grows,N/A,the man who would be king
what film did [Hong Khaou] write,Lilting,lilting,Lilting,the king of the south sea island
which film did [Cameron Crowe] write,Vanilla Sky|Almost Famous|Jerry Maguire|We Bought a Zoo|Fast Times at Ridgemont High|Say Anything...|Elizabethtown|Singles|Pearl Jam Twenty|The Wild Life,jerry maguire,Almost Famous.,Vanilla sky 2
what is a movie written by [Norman Vance Jr.],Roll Bounce,roll bounce,RV (2006),the man who would be king
what films was [James Sallis] a writer on,Drive,drive,Drive | The Perfect Crime | Death Will Have Your Eyes | Chester Himes: A Rage in Harlem | The Long-Legged Fly | Muerte en el jardín | Turner Knows Best | Chet Baker: Street of Dreams | The,the last samurai 2: the legend continues
what is a film written by [Theodore Thomas],Frank and Ollie,frank and ollie,N/A (there is no information available about a film written by Theodore Thomas),the story of the thomas brothers and the railroad strike of 1877
what films was [Galt Niederhoffer] a writer on,The Romantics,the romantics,"The Romantics | Going, Going, Gone | The Automatic Hate | Infinity Polar Bear | All This Panic | Paint | The Kindergarten Teacher | Human Capital | 10 Things We Should Do Before We Break Up",the last samurai
what movies did [Everett Freeman] write,The Secret Life of Walter Mitty|George Washington Slept Here|Million Dollar Mermaid|Where Were You When the Lights Went Out?|My Man Godfrey,where were you when the lights went out?,N/A,the man who would be king
which film did [Nikolaj Arcel] write the story for,A Royal Affair|King's Game,king's game,The Girl with the Dragon Tattoo (2009 Swedish film),the girl with the dragon tattoo 2: the awakening
which film did [Samuli Valkama] write,Love and Other Troubles,lovee and other troubles,N/A,the last train to leningrad
which movies was [Sidney Howard] the writer of,Gone with the Wind|Dodsworth|Arrowsmith|Raffles,arrowsmith,Gone with the Wind | The Silver Cord | Dodsworth | Raffles | Arrowsmith | The Animal Kingdom | They Knew What They Wanted | Yellow Jack | The Ghost Goes West | The Petrified Forest | Romeo and Juliet | The Secret, the big house
which movies was [Christina Yao] the writer of,Empire of Silver,empire of silver,"Empress Dowager Cixi, Qing Dynasty or Empire of Silver.",the last king of scotland-shire-and-barony-of-lochaber-and-muck-scott-and-the-loch-men-of-lochaber-and-muck-sc
which movie did [Keith Snyder] write,Emmett's Mark,emmett's mark,N/A (information about which movie Keith Snyder wrote is not provided), the man who would be king
what movie did [Bob Greene] write the story for,Funny About Love,funny about love,N/A,the last of the mohicans 2: the legend lives on!
which movies was [Jim Thompson] a writer on,"The Killing|The Killer Inside Me|The Grifters|The Getaway|After Dark, My Sweet|Série noire|This World, Then the Fireworks",the getaway,The Killing | Paths of Glory | The Grifters | The Getaway | Ironside (TV series), the killer inside me
which movies was [Giorgio Bassani] the writer of,The Garden of the Finzi-Continis,the garden of the finzi-continis,N/A (Giorgio Bassani was a writer primarily known for his novels and short stories), the man with the golden arm
which film did [Howard Sheehan] write the story for,PT 109,pt 109,N/A, the man who would be king
